name,sport,age,height,weight,country,sex,gold,silver,bronze,total
Chris Adcock,Badminton,23,183,80,Great Britain,M,0,0,0,0
Jangy Addy,Athletics,27,188,88,Liberia,M,0,0,0,0
Abrar Osman Adem,Athletics,18,168,58,Eritrea,M,0,0,0,0
Margaret Adeoye,Athletics,27,162,65,Great Britain,F,0,0,0,0
Seun Adigun,Athletics,25,153,52,Nigeria,F,0,0,0,0
Jonna Adlerteg,Gymnastics - Artistic,17,153,,Sweden,F,0,0,0,0
Rebecca Adlington,Swimming,23,179,70,Great Britain,F,0,0,1,1
Nathan Adrian,Swimming,23,201,102,United States of America,M,1,1,0,2
Jasper Aerents,Swimming,19,190,84,Belgium,M,0,0,0,0
Sara Aerts,Athletics,28,182,64,Belgium,F,0,0,0,0
Kseniia Afanaseva,Gymnastics - Artistic,20,158,,Russian Federation,F,0,1,0,1
Francois Affolter,Football,21,186,74,Switzerland,M,0,0,0,0
Alvaro Affonso de Miranda Neto,Equestrian,39,,,Brazil,M,0,0,0,0
Christos Afroudakis,Water Polo,28,188,88,Greece,M,0,0,0,0
Georgios Afroudakis,Water Polo,35,194,103,Greece,M,0,0,0,0
Dragos Agache,Swimming,28,175,75,Romania,M,0,0,0,0
Alphonsine Agahozo,Swimming,16,160,50,Rwanda,F,0,0,0,0
Luca Agamennoni,Rowing,31,188,96,Italy,M,0,0,0,0
Mawussi Agbetoglo,Table Tennis,18,,,Togo,M,0,0,0,0
Marilyn Agliotti,Hockey,33,171,61,Netherlands,F,0,0,0,0
Yannick Agnel,Swimming,20,202,90,France,M,2,1,0,3
Anna Agrafioti,Sailing,21,178,76,Greece,F,0,0,0,0
Ulrika Agren,Handball,25,177,66,Sweden,F,0,0,0,0
Renzo Agresta,Fencing,27,,,Brazil,M,0,0,0,0
Mayra Aguiar,Judo,21,178,78,Brazil,F,0,0,1,1
Alberto Aguilar,Athletics,27,194,80,Venezuela,M,0,0,0,0
Alessandra Aguilar,Athletics,34,165,50,Spain,F,0,0,0,0
Sandra Aguilar,Gymnastics - Rhythmic,19,167,,Spain,F,0,0,0,0
Macarena Aguilar Diaz,Handball,27,170,67,Spain,F,0,0,0,0
Inaki Aguilar Vicente,Water Polo,28,189,82,Spain,M,0,0,0,0
Julen Aguinagalde Akizu,Handball,29,196,113,Spain,M,0,0,0,0
Jeinkler Aguirre,Diving,22,,,Cuba,M,0,0,0,0
Marcelo Aguirre,Table Tennis,19,174,66,Paraguay,M,0,0,0,0
Matias Aguirregaray,Football,23,178,79,Uruguay,M,0,0,0,0
Mikel Aguirrezabalaga Garcia,Handball,28,196,92,Spain,M,0,0,0,0
Feta Ahamada,Athletics,25,160,50,Comoros,F,0,0,0,0
Johanna Ahlm,Handball,24,175,65,Sweden,F,0,0,0,0
Christian Ahlmann,Equestrian,37,192,88,Germany,M,0,0,0,0
Tontowi Ahmad,Badminton,25,178,68,Indonesia,M,0,0,0,0
Waseem Ahmad,Hockey,35,,,Pakistan,M,0,0,0,0
Elaheh Ahmadi,Shooting,30,160,58,Islamic Republic of Iran,F,0,0,0,0
Emin Ahmadov,Wrestling,25,170,74,Azerbaijan,M,0,0,0,0
Abdelrahman Ahmed,Taekwondo,23,176,,Egypt,M,0,0,0,0
Abdou Omar Abdou Ahmed,Wrestling,23,172,66,Egypt,M,0,0,0,0
Ahmed Abdulkareem Ahmed,Boxing,20,,,Iraq,M,0,0,0,0
Azneem Ahmed,Athletics,23,169,65,Maldives,M,0,0,0,0
Esmat Ahmed,Weightlifting,25,165,68,Egypt,F,0,0,0,0
Fareed Ahmed,Hockey,23,,,Pakistan,M,0,0,0,0
Mohammed Ahmed,Athletics,21,190,60,Canada,M,0,0,0,0
Shehab Ahmed,Football,21,174,73,Egypt,M,0,0,0,0
Odile Ahouanwanou,Athletics,21,178,71,Benin,F,0,0,0,0
Murielle Ahoure,Athletics,24,170,57,Côte d'Ivoire,F,0,0,0,0
Gaby Diana Ahrens,Shooting,31,170,60,Namibia,F,0,0,0,0
Mohammad Ahsan,Badminton,24,174,66,Indonesia,M,0,0,0,0
Johannes Ahun,Sailing,24,188,80,Estonia,M,0,0,0,0
Michelle-Lee Ahye,Athletics,20,160,64,Trinidad and Tobago,F,0,0,0,0
Matteo Aicardi,Water Polo,26,192,104,Italy,M,0,0,0,0
Neringa Aidietyte,Athletics,29,177,61,Lithuania,F,0,0,0,0
Hannes Aigner,Canoe Slalom,23,183,80,Germany,M,0,0,1,1
Ben Ainslie,Sailing,35,183,90,Great Britain,M,0,0,0,0
Tassadit Aissou,Volleyball,23,184,80,Algeria,F,0,0,0,0
Souad Ait Salem,Athletics,33,167,50,Algeria,F,0,0,0,0
Gulnafis Aitmukhambetova,Taekwondo,24,175,,Kazakhstan,F,0,0,0,0
Marina Aitova,Athletics,29,178,59,Kazakhstan,F,0,0,0,0
Henriette Akaba Edoa,Football,20,160,65,Cameroon,F,0,0,0,0
Muideen Akanji,Boxing,20,,,Nigeria,M,0,0,0,0
Tolga Akcayli,Swimming,19,,,St Vincent and the Grenadines,M,0,0,0,0
Tarik Langat Akdag,Athletics,24,,,Turkey,M,0,0,0,0
