name,sport,age,height,weight,country,sex,gold,silver,bronze,total
Freddie Evans,Boxing,21,180,,Great Britain,M,0,0,0,0
Gareth Evans,Weightlifting,26,169,68,Great Britain,M,0,0,0,0
Scott Evans,Badminton,24,180,75,Ireland,M,0,0,0,0
Lisvel Elisa Eve Mejia,Volleyball,20,194,70,Dominican Republic,F,0,0,0,0
Floris Evers,Hockey,29,189,83,Netherlands,M,0,0,0,0
Hannah Every-Hall,Rowing,34,165,57,Australia,F,0,0,0,0
Emilie Evesque,Shooting,23,163,49,France,F,0,0,0,0
Nadezda Evstyukhina,Weightlifting,24,167,75,Russian Federation,F,0,0,0,0
Hamid Ezzine,Athletics,28,174,62,Morocco,M,0,0,0,0
Egor Degtyarev,Swimming,20,202,96,Russian Federation,M,0,0,0,0
Ehsan Naser Lashgari,Wrestling,26,180,84,Islamic Republic of Iran,M,0,0,0,0
Eirik Veras Larsen,Canoe Sprint,36,,,Norway,M,0,0,0,0
Ekaterina Khuraskina,Modern Pentathlon,22,165,53,Russian Federation,F,0,0,0,0
Ekaterina Marennikova,Handball,30,173,70,Russian Federation,F,0,0,0,0
Ekaterina Poplavskaya,Athletics,25,169,60,Belarus,F,0,0,0,0
El-Sayed Lashin,Table Tennis,32,175,80,Egypt,M,0,0,0,0
Elena Lashmanova,Athletics,20,170,48,Russian Federation,F,0,0,0,0
Elena Popescu,Athletics,22,167,52,Republic of Moldova,F,0,0,0,0
Elisabeth Eberl,Athletics,24,170,69,Austria,F,0,0,0,0
Elise Marcotte,Synchronised Swimming,23,171,,Canada,F,0,0,0,0
Elizabeth Patrick,Rowing,27,155,50,Australia,F,0,0,0,0
Elyes Karamosly,Volleyball,22,194,104,Tunisia,M,0,0,0,0
Emiliano Dumestre Guaraglia,Rowing,25,186,70,Uruguay,M,0,0,0,0
Emma Pooley,Cycling - Road,29,157,48,Great Britain,F,0,0,0,0
Emmanuel Dyen,Sailing,33,180,70,France,M,0,0,0,0
Eric Hurd,Canoe Slalom,26,165,63,United States of America,M,0,0,0,0
Eric Kruger,Athletics,24,175,74,Germany,M,0,0,0,0
Erison Hurtault,Athletics,27,168,73,Dominica,M,0,0,0,0
Eskild Ebbesen,Rowing,40,188,75,Denmark,M,0,0,1,1
Eszter Czekus,Synchronised Swimming,17,173,,Hungary,F,0,0,0,0
Eva Csernoviczki,Judo,25,160,48,Hungary,F,0,0,1,1
Eva Hannesdottir,Swimming,24,,,Iceland,F,0,0,0,0
Evagelos Delakas,Water Polo,27,190,88,Greece,M,0,0,0,0
Elama Fa'atonu,Athletics,18,175,82,American Samoa,M,0,0,0,0
Massimo Fabbrizi,Shooting,34,176,98,Italy,M,0,0,0,0
Alessandro Fabian,Triathlon,24,186,75,Italy,M,0,0,0,0
Marco Fabian,Football,23,172,69,Mexico,M,0,0,0,0
Thierry Fabre,Judo,30,184,100,France,M,0,0,0,0
Alexandre Fabregas,Hockey,31,184,83,Spain,M,0,0,0,0
Mhasin Fadlalla,Swimming,18,158,40,Sudan,F,0,0,0,0
Temi Fagbenle,Basketball,19,193,79,Great Britain,F,0,0,0,0
Gabriella Fagundez,Swimming,26,170,60,Sweden,F,0,0,0,0
Anthony Fahden,Rowing,26,180,72,United States of America,M,0,0,0,0
Emilia Fahlin,Cycling - Road,23,176,64,Sweden,F,0,0,0,0
James Fair,Hockey,31,185,79,Great Britain,M,0,0,0,0
Kelsi Fairbrother,Handball,22,160,68,Great Britain,F,0,0,0,0
Ajmal Faisal,Boxing,21,160,,Afghanistan,M,0,0,0,0
Ajmal Faizzada,Judo,25,173,66,Afghanistan,M,0,0,0,0
Claudia Carolina Fajardo Rodriguez,Shooting,26,160,117,Honduras,F,0,0,0,0
Fouad Fajari,Wrestling,23,166,55,Morocco,M,0,0,0,0
Pawel Fajdek,Athletics,23,186,120,Poland,M,0,0,0,0
Natalia Falavigna,Taekwondo,28,179,,Brazil,F,0,0,0,0
Esquiva Falcao Florentino,Boxing,22,178,,Brazil,M,0,0,0,0
Yamaguchi Falcao Florentino,Boxing,24,179,,Brazil,M,0,0,0,0
Ennio Falco,Shooting,44,168,64,Italy,M,0,0,0,0
Dana Faletic,Rowing,35,178,70,Australia,F,0,0,0,0
Katelyn Falgowski,Hockey,23,168,61,United States of America,F,0,0,0,0
Aicha Fall,Athletics,18,160,46,Mauritania,F,0,0,0,0
Malick Fall,Swimming,26,188,76,Senegal,M,0,0,0,0
Alejandro Falla,Tennis,28,181,82,Colombia,M,0,0,0,0
Emilio Andres Falla Buchely,Cycling - BMX,26,172,60,Ecuador,M,0,0,0,0
Stephanie Falzon,Athletics,29,168,70,France,F,0,0,0,0
Aliaksandr Faminou,Equestrian,27,187,80,Belarus,M,0,0,0,0
Aurelie Fanchette,Swimming,14,162,50,Seychelles,F,0,0,0,0
Chieh Min Fang,Badminton,26,175,72,Taipei (Chinese Taipei),M,0,0,0,0
Yanqiao Fang,Swimming,23,173,69,People's Republic of China,F,0,0,0,0
Yuting Fang,Archery,22,170,62,People's Republic of China,F,0,1,0,1
Sime Fantela,Sailing,26,183,67,Croatia,M,0,0,0,0
Mohamed Farah,Athletics,29,165,58,Great Britain,M,0,0,0,0
Francesco Faraldo,Judo,30,168,66,Italy,M,0,0,0,0
Marion Farissier,Diving,20,164,64,France,F,0,0,0,0
Gyorgyi Farkas,Athletics,27,170,59,Hungary,F,0,0,0,0
Mirzahid Farmonov,Judo,24,165,66,Uzbekistan,M,0,0,0,0
Thomas Farnik,Shooting,45,183,83,Austria,M,0,0,0,0
Stuart Farquhar,Athletics,30,187,98,New Zealand,M,0,0,0,0
Sherif Farrag,Fencing,25,,,Egypt,M,0,0,0,0
Tyler Farrar,Cycling - Road,28,183,77,United States of America,M,0,0,0,0
Margaux Farrell,Swimming,21,183,71,France,F,0,0,1,1
Kendrick Farris,Weightlifting,26,168,85,United States of America,M,0,0,0,0
Erika Fasana,Gymnastics - Artistic,16,152,,Italy,F,0,0,0,0
Dan Fasie,Judo,25,170,66,Romania,M,0,0,0,0
Claudia Fassaert,Equestrian,42,167,64,Belgium,F,0,0,0,0
Monika Fasungova,Badminton,24,163,55,Slovakia,F,0,0,0,0
Brian Fatih,Sailing,39,191,109,United States of America,M,0,0,0,0
Thomas Faucheron,Archery,22,175,72,France,M,0,0,0,0
Richard Faulds,Shooting,35,180,83,Great Britain,M,0,0,0,0
Ellie Faulkner,Swimming,19,165,55,Great Britain,F,0,0,0,0
Jade Faulkner,Gymnastics - Rhythmic,18,162,,Great Britain,F,0,0,0,0
Jesper Faurschou,Athletics,29,183,63,Denmark,M,0,0,0,0
Mareme Faye,Swimming,25,177,73,Senegal,F,0,0,0,0
Ayman Fayez,Fencing,21,180,75,Egypt,M,0,0,0,0
Krisztina Fazekas,Canoe Sprint,32,173,64,Hungary,F,0,0,0,0
Nandor Fazekas,Handball,35,192,93,Hungary,M,0,0,0,0
Nedzad Fazlija,Shooting,44,175,70,Bosnia and Herzegovina,M,0,0,0,0
Citra Febrianti,Weightlifting,24,152,53,Indonesia,F,0,0,0,0
Stephan Feck,Diving,22,183,79,Germany,M,0,0,0,0
Rafal Fedaczynski,Athletics,31,168,58,Poland,M,0,0,0,0
Zouhair Feddal,Football,23,188,78,Morocco,M,0,0,0,0
Roger Federer,Tennis,30,185,85,Switzerland,M,0,0,0,0
Olivia Federici,Synchronised Swimming,22,168,,Great Britain,F,0,0,0,0
Nikita Fedorenko,Trampoline,20,171,,Russian Federation,M,0,0,0,0
Aleksandra Fedoriva,Athletics,23,175,60,Russian Federation,F,0,0,0,0
Olena Fedorova,Diving,25,164,57,Ukraine,F,0,0,0,0
Sergey Fedorovtsev,Rowing,32,191,92,Russian Federation,M,0,0,0,0
Vasyl Fedoryshyn,Wrestling,31,168,68,Ukraine,M,0,0,0,0
Nadezhda Fedotova,Water Polo,24,170,65,Russian Federation,F,0,0,0,0
Alessandro Fei,Volleyball,33,204,90,Italy,M,0,0,0,0
James Feigen,Swimming,22,196,98,United States of America,M,0,1,0,1
Luis Feiteira,Athletics,39,177,60,Portugal,M,0,0,0,0
Roseli Feitosa,Boxing,23,174,,Brazil,F,0,0,0,0
Maral Feizbakhsh,Athletics,21,175,61,Germany,F,0,0,0,0
Damir Fejzic,Taekwondo,18,180,,Serbia,M,0,0,0,0
Hendrik Feldwehr,Swimming,25,192,90,Germany,M,0,0,0,0
Getu Feleke,Athletics,25,,,Ethiopia,M,0,0,0,0
Christopher Felgate,Triathlon,30,189,77,Zimbabwe,M,0,0,0,0
Allyson Felix,Athletics,26,168,55,United States of America,F,0,0,0,0
Ana Dulce Felix,Athletics,29,165,52,Portugal,F,0,0,0,0
Kurt Felix,Athletics,24,184,62,Grenada,M,0,0,0,0
Madalena Felix,Basketball,22,179,78,Angola,F,0,0,0,0
Jerrel Feller,Athletics,25,170,73,Netherlands,M,0,0,0,0
Richard Fellers,Equestrian,52,183,77,United States of America,M,0,0,0,0
Maurizio Felugo,Water Polo,31,189,86,Italy,M,0,0,0,0
Veronika Fenclova,Sailing,31,171,67,Czech Republic,F,0,0,0,0
Alex Feneridis,Football,22,186,77,New Zealand,M,0,0,0,0
Tianwei Feng,Table Tennis,25,163,57,Singapore,F,0,0,1,1
Zhe Feng,Gymnastics - Artistic,24,160,,People's Republic of China,M,1,0,0,1
Svetlana Feofanova,Athletics,32,160,49,Russian Federation,F,0,0,0,0
Emilie Fer,Canoe Slalom,29,172,63,France,F,1,0,0,1
Laila Ferer E Silva,Athletics,30,,,Brazil,F,0,0,0,0
Keith Ferguson,Shooting,32,176,80,Australia,M,0,0,0,0
Sheniqua Ferguson,Athletics,22,,,Bahamas,F,0,0,0,0
Steven Ferguson,Canoe Sprint,32,194,92,New Zealand,M,0,0,0,0
Debbie Ferguson-McKenzie,Athletics,36,165,63,Bahamas,F,0,0,0,0
Carlotta Ferlito,Gymnastics - Artistic,17,157,,Italy,F,0,0,0,0
Isabel Fernandes,Handball,27,180,82,Angola,F,0,0,0,0
Siona Fernandes,Boxing,29,163,,New Zealand,F,0,0,0,0
Clemilda Fernandes Silva,Cycling - Road,33,167,52,Brazil,F,0,0,0,0
Janildes Fernandes Silva,Cycling - Road,31,166,52,Brazil,F,0,0,0,0
Alberto Fernandez,Shooting,29,180,106,Spain,M,0,0,0,0
Federico Fernandez,Equestrian,44,173,80,Mexico,M,0,0,0,0
Federico Gaston Fernandez,Handball,22,188,92,Argentina,M,0,0,0,0
Jerome Fernandez,Handball,35,199,106,France,M,0,0,0,0
Jorge Y Fernandez,Athletics,24,,,Cuba,M,0,0,0,0
Juan Fernandez,Hockey,27,174,73,Spain,M,0,0,0,0
Nuria Fernandez,Athletics,35,170,54,Spain,F,0,0,0,0
Rudy Fernandez,Basketball,27,196,84,Spain,M,0,0,0,0
Santiago Fernandez,Rowing,35,191,93,Argentina,M,0,0,0,0
Silvio Fernandez,Fencing,33,193,83,Venezuela,M,0,0,0,0
Xabier Fernandez Gaztanaga,Sailing,35,181,81,Spain,M,0,0,0,0
Beatriz Fernandez Ibanez,Handball,27,180,74,Spain,F,0,0,0,0
Begona Fernandez Molinos,Handball,32,180,71,Spain,F,0,0,0,0
Liliana Fernandez Steiner,Beach Volleyball,25,178,75,Spain,F,0,0,0,0
Ed Fernon,Modern Pentathlon,24,182,73,Australia,M,0,0,0,0
Erika Ferraioli,Swimming,26,180,65,Italy,F,0,0,0,0
Pauline Ferrand Prevot,Cycling,20,165,53,France,F,0,0,0,0
Niccolo Ferrari,Canoe Slalom,24,183,76,Italy,M,0,0,0,0
Vanessa Ferrari,Gymnastics - Artistic,21,146,,Italy,F,0,0,0,0
Fernanda Ferreira,Volleyball,32,172,66,Brazil,F,0,0,0,0
Jaqueline Ferreira,Weightlifting,25,165,75,Brazil,F,0,0,0,0
Patricia Ferreira,Basketball,33,182,70,Brazil,F,0,0,0,0
David Ferrer,Tennis,30,175,73,Spain,M,0,0,0,0
Beatriz Ferrer-Salat,Equestrian,46,176,60,Spain,F,0,0,0,0
Diego Ferrin,Athletics,24,190,72,Ecuador,M,0,0,0,0
Andrea Ferris,Athletics,24,182,62,Panama,F,0,0,0,0
Sergei Fesikov,Swimming,23,204,90,Russian Federation,M,0,0,1,1
Driss Fettouhi,Football,22,178,74,Morocco,M,0,0,0,0
Raissa Feudjio Tchuanyo,Football,16,163,60,Cameroon,F,0,0,0,0
Nazario Fiakaifonu,Judo,24,189,123,Vanuatu,M,0,0,0,0
Rossella Fiamingo,Fencing,21,168,56,Italy,F,0,0,0,0
Joerg Fiedler,Fencing,34,193,87,Germany,M,0,0,0,0
Connor Fields,Cycling - BMX,19,183,91,United States of America,M,0,0,0,0
Nicolas Figere,Athletics,33,176,70,France,M,0,0,0,0
Craig Figes,Water Polo,33,183,90,Great Britain,M,0,0,0,0
Pietro Figlioli,Water Polo,28,192,98,Italy,M,0,0,0,0
Nayara Figueira,Synchronised Swimming,24,169,,Brazil,F,0,0,0,0
Angela Figueroa,Athletics,28,163,51,Colombia,F,0,0,0,0
Carlos Figueroa,Judo,27,170,66,El Salvador,M,0,0,0,0
Maynor Figueroa,Football,29,170,75,Honduras,M,0,0,0,0
Oscar Albeiro Figueroa Mosquera,Weightlifting,29,165,62,Colombia,M,0,1,0,1
Grzegorz Fijalek,Beach Volleyball,25,186,81,Poland,M,0,0,0,0
Tayeb Filali,Athletics,33,172,55,Algeria,M,0,0,0,0
Eleni Filandra,Athletics,28,174,58,Greece,F,0,0,0,0
Christoph Fildebrandt,Swimming,23,193,78,Germany,M,0,0,0,0
Jonelle Filigno,Football,21,169,58,Canada,F,0,0,0,0
Roseline Filion,Diving,25,152,52,Canada,F,0,0,1,1
Ngiendula Filipe,Basketball,30,180,72,Angola,F,0,0,0,0
Filip Filipovic,Water Polo,25,193,91,Serbia,M,0,0,0,0
Nenad Filipovic,Athletics,33,182,72,Serbia,M,0,0,0,0
Predrag Filipovic,Athletics,33,182,73,Serbia,M,0,0,0,0
Alessia Filippi,Swimming,25,186,63,Italy,F,0,0,0,0
Konstadinos Filippidis,Athletics,25,190,78,Greece,M,0,0,0,0
Nikita Filippov,Athletics,20,192,80,Kazakhstan,M,0,0,0,0
Tetyana Filonyuk,Athletics,28,167,48,Ukraine,F,0,0,0,0
Katarina Filova,Swimming,23,173,63,Slovakia,F,0,0,0,0
Aina Fils Rabetsara,Swimming,18,167,55,Madagascar,F,0,0,0,0
Sabrina Filzmoser,Judo,32,173,57,Austria,F,0,0,0,0
Gabor Financsek,Swimming,26,186,81,Hungary,M,0,0,0,0
Paula Findlay,Triathlon,23,170,55,Canada,F,0,0,0,0
Cathryn Finlayson,Hockey,23,163,62,New Zealand,F,0,0,0,0
Joanna Fiodorow,Athletics,23,169,90,Poland,F,0,0,0,0
Mauricio Fiol Villanueva,Swimming,18,178,72,Peru,M,0,0,0,0
Deni Fiorentini,Water Polo,28,191,86,Italy,M,0,0,0,0
Adrianti Firdasari,Badminton,25,170,58,Indonesia,F,0,0,0,0
Tatyana Firova,Athletics,29,178,68,Russian Federation,F,0,0,0,0
Joachim Fischer,Badminton,33,188,78,Denmark,M,0,0,1,1
Julia Fischer,Athletics,22,192,95,Germany,F,0,0,0,0
Murilo Antonio Fischer,Cycling - Road,33,,67,Brazil,M,0,0,0,0
Nilla Fischer,Football,28,175,68,Sweden,F,0,0,0,0
Pamela Fischer,Synchronised Swimming,24,158,,Switzerland,F,0,0,0,0
Naomi-Lee Fischer-Rasmussen,Boxing,28,176,,Australia,F,0,0,0,0
Alexandra Fisher,Athletics,24,174,63,Kazakhstan,F,0,0,0,0
Darryl Fitzgerald,Canoe Sprint,21,186,85,New Zealand,M,0,0,0,0
Anna Flanagan,Hockey,20,180,67,Australia,F,0,0,0,0
Shalane Flanagan,Athletics,31,165,48,United States of America,F,0,0,0,0
Scott Flanigan,Sailing,19,185,70,Ireland,M,0,0,0,0
Sebastian Fleischer,Sailing,18,179,69,Denmark,M,0,0,0,0
Colin Fleming,Tennis,27,188,78,Great Britain,M,0,0,0,0
Laura Flessel-Colovic,Fencing,40,171,55,France,F,0,0,0,0
Mohamed Flissi,Boxing,22,162,,Algeria,M,0,0,0,0
Kristina Flognman,Handball,31,178,65,Sweden,F,0,0,0,0
Debbie Flood,Rowing,32,177,75,Great Britain,F,0,0,0,0
Naomi Flood,Canoe Sprint,26,175,78,Australia,F,0,0,0,0
David Florence,Canoe Slalom,29,188,77,Great Britain,M,0,1,0,1
Daniel Flores,Sailing,30,170,60,Venezuela,M,0,0,0,0
Lina Florez,Athletics,27,170,59,Colombia,F,0,0,0,0
Yuri Floriani,Athletics,30,180,64,Italy,M,0,0,0,0
Gemma Flynn,Hockey,22,168,60,New Zealand,F,0,0,0,0
James Foad,Rowing,25,185,90,Great Britain,M,0,0,1,1
Serguei Fofanoff,Equestrian,43,178,74,Brazil,M,0,0,0,0
Lyndsie Fogarty,Canoe Sprint,28,174,67,Australia,F,0,0,0,0
Hanna Fogelstrom,Handball,21,179,65,Sweden,F,0,0,0,0
Krystal Forgesson,Hockey,29,156,63,New Zealand,F,0,0,0,0
Robert Forstemann,Cycling,26,174,90,Germany,M,0,0,1,1
Karsten Forsterling,Rowing,32,191,88,Australia,M,0,0,1,1
Marco Fortes,Athletics,29,189,135,Portugal,M,0,0,0,0
Jo-Annie Fortin,Synchronised Swimming,21,174,,Canada,F,0,0,0,0
Francesco Fossi,Rowing,24,199,97,Italy,M,0,0,0,0
Sally Foster,Swimming,27,172,62,Australia,F,0,0,0,0
Tiffany Foster,Equestrian,28,165,50,Canada,F,0,0,0,0
Brigitte Foster-Hylton,Athletics,37,165,62,Jamaica,F,0,0,0,0
Ben Fouhy,Canoe Sprint,33,183,84,New Zealand,M,0,0,0,0
Hyleas Fountain,Athletics,31,170,64,United States of America,F,0,0,0,0
Ioannis Fountoulis,Water Polo,24,187,86,Greece,M,0,0,0,0
Lehann Fourie,Athletics,25,196,98,South Africa,M,0,0,0,0
Emilie Fournel,Canoe Sprint,25,155,59,Canada,F,0,0,0,0
Hugues Fournel,Canoe Sprint,23,170,73,Canada,M,0,0,0,0
Angel Fournier Rodriguez,Rowing,24,,,Cuba,M,0,0,0,0
Sylvia Fowles,Basketball,26,196,91,United States of America,F,0,0,0,0
Dan Fox,Hockey,29,183,79,Great Britain,M,0,0,0,0
Francesca Fox,Gymnastics - Rhythmic,20,167,,Great Britain,F,0,0,0,0
Jessica Fox,Canoe Slalom,18,166,60,Australia,F,0,1,0,1
William Fox-Pitt,Equestrian,43,198,76,Great Britain,M,0,1,0,1
Marit Malm Frafjord,Handball,26,182,,Norway,F,0,0,0,0
Pedro Fraga,Rowing,29,175,70,Portugal,M,0,0,0,0
Larissa Franca,Beach Volleyball,30,174,68,Brazil,F,0,0,0,0
Zsuzsanna Francia,Rowing,29,188,79,United States of America,F,1,0,0,1
Charles Francis,Swimming,23,183,77,Canada,M,0,0,0,0
Corine Franco,Football,28,178,65,France,F,0,0,0,0
Jamy Franco,Athletics,21,170,49,Guatemala,F,0,0,0,0
Julieta Franco,Hockey,35,160,57,Argentina,F,0,0,0,0
Leryn Franco,Athletics,30,172,57,Paraguay,F,0,0,0,0
Scott Frandsen,Rowing,32,188,86,Canada,M,0,0,0,0
Bridget Franek,Athletics,24,168,57,United States of America,F,0,0,0,0
Michele Frangilli,Archery,36,181,110,Italy,M,1,0,0,1
Kristina Franic,Handball,25,180,66,Croatia,F,0,0,0,0
Robert Frank,Table Tennis,22,195,88,Australia,M,0,0,0,0
Yvonne Frank,Hockey,32,182,78,Germany,F,0,0,0,0
Missy Franklin,Swimming,17,185,75,United States of America,F,2,0,1,3
Sonia Franquet,Shooting,32,173,55,Spain,F,0,0,0,0
Jenny Fransson,Wrestling,25,169,72,Sweden,F,0,0,0,0
Pauline Frasca,Rowing,32,180,75,Australia,F,0,0,0,0
Brett Fraser,Swimming,22,188,84,Cayman Islands,M,0,0,0,0
Shaune Fraser,Swimming,24,186,86,Cayman Islands,M,0,0,0,0
Warren Fraser,Athletics,21,172,73,Bahamas,M,0,0,0,0
Thomas Fraser-Holmes,Swimming,20,194,85,Australia,M,0,0,0,0
James Fraser-Mackenzie,Rowing,19,186,80,Zimbabwe,M,0,0,0,0
Shelly-Ann Fraser-Pryce,Athletics,25,152,57,Jamaica,F,0,0,0,0
Teresa Frassinetti,Water Polo,26,178,72,Italy,F,0,0,0,0
Michael Frater,Athletics,29,175,75,Jamaica,M,0,0,0,0
Pierpaolo Frattini,Rowing,28,191,95,Italy,M,0,0,0,0
Bruno Fratus,Swimming,23,,,Brazil,M,0,0,0,0
Jared Frayer,Wrestling,33,173,66,United States of America,M,0,0,0,0
Henry Frayne,Athletics,22,188,79,Australia,M,0,0,0,0
Clayton Fredericks,Equestrian,44,185,87,Australia,M,0,0,0,0
Cornel Fredericks,Athletics,22,178,68,South Africa,M,0,0,0,0
Lucinda Fredericks,Equestrian,46,180,62,Australia,F,0,0,0,0
Helle Frederiksen,Triathlon,31,171,54,Denmark,F,0,0,0,0
Jens Fredricson,Equestrian,44,180,78,Sweden,M,0,0,0,0
Joel Freeland,Basketball,25,211,111,Great Britain,M,0,0,0,0
Fabian Frei,Football,23,183,78,Switzerland,M,0,0,0,0
Rico Freimuth,Athletics,24,196,92,Germany,M,0,0,0,0
Bernardo Freitas,Sailing,22,187,82,Portugal,M,0,0,0,0
Marcos Freitas,Table Tennis,24,181,75,Portugal,M,0,0,0,0
Patricia Freitas,Sailing,22,172,58,Brazil,F,0,0,0,0
Santiago Freixa,Hockey,29,181,85,Spain,M,0,0,0,0
Nathan French,Volleyball,22,191,86,Great Britain,M,0,0,0,0
Vitaliy Fridzon,Basketball,26,195,90,Russian Federation,M,0,0,0,0
Ariane Friedrich,Athletics,28,179,57,Germany,F,0,0,0,0
Lotte Friis,Swimming,24,183,74,Denmark,F,0,0,0,0
Rayan Frikeche,Football,20,180,75,Morocco,M,0,0,0,0
Vendula Frintova,Triathlon,28,168,50,Czech Republic,F,0,0,0,0
Sultana Frizell,Athletics,27,183,110,Canada,F,0,0,0,0
Jan Frodeno,Triathlon,30,194,75,Germany,M,0,0,0,0
Lars Frolander,Swimming,37,184,80,Sweden,M,0,0,0,0
Sergii Frolov,Swimming,20,190,84,Ukraine,M,0,0,0,0
Helena Fromm,Taekwondo,24,175,,Germany,F,0,0,0,0
Christopher Froome,Cycling - Road,27,185,71,Great Britain,M,0,0,1,1
Petr Frydrych,Athletics,24,200,100,Czech Republic,M,0,0,0,0
Zita Frydrychova,Trampoline,20,162,,Czech Republic,F,0,0,0,0
Baorong Fu,Hockey,34,166,58,People's Republic of China,F,0,0,0,0
Haifeng Fu,Badminton,28,181,77,People's Republic of China,M,0,0,0,0
Yuanhui Fu,Swimming,16,177,63,People's Republic of China,F,0,0,0,0
Emanuele Fuamatu,Athletics,22,182,100,Samoa,M,0,0,0,0
Masumi Fuchise,Athletics,25,161,50,Japan,F,0,0,0,0
Florian Fuchs,Hockey,20,186,72,Germany,M,0,0,0,0
Michael Fuchs,Badminton,30,181,87,Germany,M,0,0,0,0
Kathryn Fudge,Handball,22,183,70,Great Britain,F,0,0,0,0
Johana Beatriz Fuenmayor Choles,Fencing,33,154,48,Venezuela,F,0,0,0,0
Wilmer Fuentes,Football,20,170,70,Honduras,M,0,0,0,0
Andrea Fuentes Fache,Synchronised Swimming,29,169,,Spain,F,0,0,0,0
Moritz Fuerste,Hockey,27,190,92,Germany,M,0,0,0,0
Jakob Fuglsang,Cycling - Road,27,182,69,Denmark,M,0,0,0,0
Mizuki Fujii,Badminton,23,160,60,Japan,F,0,0,0,0
Takuro Fujii,Swimming,27,184,77,Japan,M,0,0,0,0
Tsutomu Fujimura,Wrestling,30,174,66,Japan,M,0,0,0,0
Kaori Fujio,Hockey,31,157,51,Japan,F,0,0,0,0
Isamu Fujisawa,Athletics,24,164,56,Japan,M,0,0,0,0
Arata Fujiwara,Athletics,30,167,54,Japan,M,0,0,0,0
Natsuki Fukase,Gymnastics - Rhythmic,18,168,,Japan,F,0,0,0,0
Fabio Fognini,Tennis,25,179,77,Italy,M,0,0,0,0
Farrah Hall,Sailing,30,170,58,United States of America,F,0,0,0,0
Filipe Fuzaro,Shooting,29,176,75,Brazil,M,0,0,0,0
Fiona Paterson,Rowing,29,180,75,New Zealand,F,0,0,0,0
Florin Curuea,Rowing,30,189,90,Romania,M,0,0,0,0
Frances Houghton,Rowing,31,193,81,Great Britain,F,0,0,0,0
Francesca Halsall,Swimming,22,172,59,Great Britain,F,0,0,0,0
Francis Hegerty,Rowing,29,188,95,Australia,M,0,0,0,0
Francisco Hervas Jodar,Swimming,30,167,60,Spain,M,0,0,0,0
Franck Dumoulin,Shooting,39,171,72,France,M,0,0,0,0
Frederic Fokejou Tefot,Weightlifting,32,187,105,Cameroon,M,0,0,0,0
Kamghe Gaba,Athletics,28,202,96,Germany,M,0,0,0,0
Eman Gaber,Fencing,23,171,61,Egypt,F,0,0,0,0
Omar Gaber,Football,20,173,64,Egypt,M,0,0,0,0
Arne Gabius,Athletics,31,186,66,Germany,M,0,0,0,0
Luan Gabriel,Athletics,16,170,45,Dominica,F,0,0,0,0
Rubie Joy Gabriel,Athletics,17,157,52,Palau,F,0,0,0,0
Teresa Gabriele,Basketball,32,165,61,Canada,F,0,0,0,0
Astrid Gabrielsson,Sailing,23,176,70,Sweden,F,0,0,0,0
Anita Gace,Handball,29,177,69,Croatia,F,0,0,0,0
Andrej Gacina,Table Tennis,26,185,82,Croatia,M,0,0,0,0
Shalva Gadabadze,Wrestling,28,178,96,Azerbaijan,M,0,0,0,0
Youssef Gaddour,Basketball,22,203,103,Tunisia,M,0,0,0,0
Peter Gade,Badminton,35,183,73,Denmark,M,0,0,0,0
Kelly Gadea,Football,20,168,61,France,F,0,0,0,0
Abdusalam Gadisov,Wrestling,23,178,84,Russian Federation,M,0,0,0,0
Aron Gadorfalvi,Sailing,34,184,73,Hungary,M,0,0,0,0
Gaybatulla Gadzhialiyev,Boxing,21,170,,Azerbaijan,M,0,0,0,0
Nathan Gafuik,Gymnastics - Artistic,27,165,,Canada,M,0,0,0,0
Kamilla Gafurzianova,Fencing,24,174,64,Russian Federation,F,0,1,0,1
Adaveeshaiah P. Gagan Ullalmath,Swimming,20,,,India,M,0,0,0,0
Fazliddin Gaibnazarov,Boxing,21,,,Uzbekistan,M,0,0,0,0
Vitaly Gaiduchik,Football,23,185,73,Belarus,M,0,0,0,0
Ignisious Gaisah,Athletics,29,185,75,Ghana,M,0,0,0,0
Natalia Gaitan,Football,21,166,63,Colombia,F,0,0,0,0
Jarmila Gajdosova,Tennis,25,173,68,Australia,F,0,0,0,0
Danyal Gajiyev,Wrestling,26,176,84,Kazakhstan,M,0,0,0,0
Edward Gal,Equestrian,42,185,70,Netherlands,M,0,0,0,0
Mumin Gala,Athletics,25,,,Djibouti,M,0,0,0,0
Marco Galiazzo,Archery,29,178,98,Italy,M,1,0,0,1
Ekaterina Galitskaya,Athletics,25,174,63,Russian Federation,F,0,0,0,0
Gulnara Galkina,Athletics,34,174,53,Russian Federation,F,0,0,0,0
Lioubov Galkina,Shooting,39,165,57,Russian Federation,F,0,0,0,0
Geena Gall,Athletics,25,168,61,United States of America,F,0,0,0,0
Rebecca Gallantree,Diving,27,166,60,Great Britain,F,0,0,0,0
Karen Gallardo,Athletics,28,175,95,Chile,F,0,0,0,0
Ana Gallay,Beach Volleyball,26,174,66,Argentina,F,0,0,0,0
Valentino Gallo,Water Polo,27,193,93,Italy,M,0,0,0,0
Tony Gallopin,Cycling - Road,24,179,72,France,M,0,0,0,0
Gleb Galperin,Diving,27,179,70,Russian Federation,M,0,0,0,0
Arsen Galstyan,Judo,23,170,60,Russian Federation,M,1,0,0,1
Fatima Galvez,Shooting,25,165,60,Spain,F,0,0,0,0
